query,accesssion,identity,sciname,title
k127_147_1_av_267.0000_len_1070,KY072797,75.7,Parnassius choui,"Parnassius choui mitochondrion, complete genome"
LWW0016_60_av_134.47,KP715146,99.8,Colias erate,"Colias erate mitochondrion, complete genome"
k127_179532__av_81.1152_len_995,NC_045249,53.3,Hasora badra,"Hasora badra voucher SB20120510 mitochondrion, complete genome"
